question,answer
How to file complaint against employer?,File complaint with Labour Commissioner for wage disputes. For harassment file with Internal Complaints Committee. You can also approach the Labour Court.
Wage theft by employer,File complaint with the Labour Commissioner of your district. Also file a police complaint for cheating. Collect your salary slips and bank statements as proof.
How to complain about road accident?,File FIR at nearest police station. Apply for Motor Accident Claims Tribunal MACT compensation. Collect medical bills and witness details.
What is cyberstalking?,Cyberstalking means repeatedly harassing someone online through messages calls or social media. It is a punishable offence under IT Act. Report at cybercrime.gov.in.
How to stop cyberbullying?,Block the person on all platforms. Take screenshots as evidence. Report on cybercrime.gov.in or call 1930. You can also file a police complaint.
Identity theft online,Report immediately at cybercrime.gov.in. Inform your bank and change all passwords. File a police complaint and keep all evidence of misuse.
How to report blackmail?,File police complaint immediately. Do not pay the blackmailer. Keep all messages and screenshots as evidence. You can also report at cybercrime.gov.in.
What to do if phone is stolen?,File FIR at nearest police station with IMEI number. Block your SIM card immediately. Report to CEIR portal at ceir.gov.in to block the stolen phone.
How to get IMEI blocked?,Visit ceir.gov.in and submit your stolen phone complaint. You also need to file FIR at police station. Provide your IMEI number which is found on the phone box.
What is Section 498A?,Section 498A IPC deals with cruelty by husband or his relatives against wife. It is a cognizable and non-bailable offence. Complaint can be filed at any police station.
Dowry harassment complaint,File FIR under Section 498A IPC at nearest police station. You can also approach women's commission. Contact helpline 181 for women in distress.
How to apply for protection order?,Approach the Magistrate court or Protection Officer under Domestic Violence Act 2005. A lawyer or NGO can help you file the application for protection order.
What is mediation?,Mediation is a peaceful way to solve disputes with help of a neutral third person called mediator. It is faster and cheaper than going to court. Many courts now offer mediation.
How to recover money from fraud?,File FIR with police. Approach civil court for money recovery. File complaint at cybercrime.gov.in if it was online fraud. Consult a lawyer for best option.
What is an affidavit?,An affidavit is a written statement made under oath before a magistrate or notary. It is used as evidence in legal proceedings. It must be signed and stamped.
How to get a character certificate?,Apply at your nearest police station or District Magistrate office. Carry your ID proof address proof and photographs. It usually takes 7 to 15 days.
What is a power of attorney?,Power of attorney is a legal document that gives another person authority to act on your behalf in legal or financial matters. It must be registered with sub-registrar.
How to register a complaint against doctor?,File complaint with the State Medical Council. For criminal negligence also file FIR with police. You can also approach consumer court for compensation.
What is NDPS Act?,NDPS stands for Narcotic Drugs and Psychotropic Substances Act 1985. It controls and regulates drug related offences in India. Punishments are very strict including life imprisonment.
How to report drug dealing?,Call police on 100 or report to Narcotics Control Bureau. You can report anonymously. Your identity will be kept confidential.
What to do if arrested wrongly?,Inform your family and lawyer immediately. You have the right to know the reason for arrest. You must be produced before a magistrate within 24 hours of arrest.
Rights during police custody,You have the right to know the reason for arrest. You have the right to inform a family member. You have the right to a lawyer. You must be produced before magistrate within 24 hours.
What is Section 144?,Section 144 CrPC allows authorities to prohibit assembly of 4 or more people in an area. It is imposed to prevent violence or disturbance of public peace.
How to apply for legal heir certificate?,Apply at the Tehsil or District Magistrate office with death certificate and family details. It is required for inheriting property or bank accounts of a deceased person.
How to file succession certificate?,File petition in civil court with details of deceased person and assets. A lawyer can help. It is required to claim movable assets like bank balance and investments.
What is Section 420 IPC?,Section 420 IPC deals with cheating and dishonestly inducing delivery of property. Maximum punishment is 7 years imprisonment plus fine. Report cheating cases to police.
What is the right to information?,RTI or Right to Information Act 2005 allows any citizen to request information from government. Apply online at rtionline.gov.in with a fee of Rs. 10.
How to file complaint against school or college?,File complaint with the District Education Officer. For fee fraud approach consumer court. For sexual harassment file FIR with police immediately.
Land grabbing complaint,File FIR at police station under relevant IPC sections. Also file complaint with Revenue Department and District Magistrate. Keep all land documents ready.
How to report fake news?,Report at cybercrime.gov.in. You can also report to the platform like Facebook or WhatsApp. Spreading fake news is punishable under IT Act and IPC.
What is Section 375 IPC?,Section 375 IPC defines rape. It is a cognizable and non-bailable offence. Complaint must be filed immediately at nearest police station or women police station.
How to report sexual harassment at workplace?,File written complaint to Internal Complaints Committee of your organization within 3 months. If no ICC exists file complaint with Local Complaints Committee. You can also file FIR.
What is RERA?,RERA stands for Real Estate Regulatory Authority. It protects home buyers from fraud by builders. File complaint at your state RERA website if builder is cheating you.
Builder not giving possession,File complaint at state RERA portal. You can also approach consumer court. Keep all payment receipts and agreement documents ready.
Someone is beating a dog on street,Animal cruelty is punishable under Section 11 of Prevention of Cruelty to Animals Act 1960. Call Animal Helpline 1962 or report to local police immediately with photos or video as evidence.
How to report animal cruelty?,Call Animal Helpline 1962 or contact PETA India or local animal welfare organizations. You can also file a police complaint under Section 11 of Prevention of Cruelty to Animals Act 1960.
Dog bite complaint,Seek medical treatment immediately and get anti-rabies injection. Report the incident to local municipal corporation. File police complaint against the owner for negligence under IPC.
Stray dog attack,Report to your local municipal corporation who is responsible for managing stray animals. Seek immediate medical help and file complaint with local animal control department.
Pet animal abandoned by owner,File complaint with local animal welfare organization or municipal corporation. Abandoning a pet is punishable under Prevention of Cruelty to Animals Act 1960.
Horse or cattle being tortured,Call Animal Helpline 1962 immediately. Report to local police under Section 11 of Prevention of Cruelty to Animals Act. You can also approach SPCA Society for Prevention of Cruelty to Animals.
Wildlife animal trapped or injured,Call Wildlife SOS helpline at 9871963535. You can also contact the nearest Forest Department office. Trading or harming wildlife is punishable under Wildlife Protection Act 1972.
Illegal wildlife trade,Report to Forest Department or Wildlife Crime Control Bureau immediately. Call Wildlife SOS at 9871963535. Illegal wildlife trade is a serious offence under Wildlife Protection Act 1972.
Animal used for begging,Report to local police and animal welfare organizations. Using animals for begging is punishable under Prevention of Cruelty to Animals Act 1960.
Cow slaughter complaint,Report to local police as cow slaughter laws vary by state. Contact local Gau Raksha organizations. File FIR at nearest police station with evidence.
How to report poaching?,Contact the nearest Forest Department or Wildlife Crime Control Bureau. You can also call Police helpline 100. Poaching is a serious offence under Wildlife Protection Act 1972.
Animal experiment cruelty,Report to Committee for the Purpose of Control and Supervision of Experiments on Animals CPCSEA. You can also approach animal welfare NGOs and file complaint with police.
Someone torturing animals for fun,File police complaint under Section 11 of Prevention of Cruelty to Animals Act 1960. Call Animal Helpline 1962. Keep video or photo evidence to support your complaint.
Cattle smuggling complaint,Report to local police and Forest Department immediately. Contact Border Security Force if near borders. Cattle smuggling is punishable under Prevention of Cruelty to Animals Act and state laws.
Pet shop selling sick animals,File complaint with local municipality and animal welfare board. You can also approach consumer court for refund if you purchased a sick animal. Report to SPCA.
Woman being followed on street,Call police helpline 100 or women helpline 1091 immediately. Move to a crowded safe place. File FIR at nearest police station or women police station for stalking under Section 354D IPC.
Girl harassed in college,File written complaint with college Internal Complaints Committee. Also file FIR at nearest police station. Contact women commission helpline 181 for guidance and support.
Wife beaten by husband,Call women helpline 181 or 1091 immediately. File FIR at nearest police station under Domestic Violence Act 2005 and Section 498A IPC. Seek shelter at nearest women shelter home.
Acid attack on woman,Call 100 for police and 108 for ambulance immediately. File FIR at nearest police station. Acid attack is punishable with minimum 10 years imprisonment under Section 326A IPC.
Girl child marriage,Call Childline 1098 immediately. Report to local police and District Child Protection Unit. Child marriage is prohibited under Prohibition of Child Marriage Act 2006.
Woman trafficked,Call Anti Human Trafficking helpline 1800-419-8588 immediately. Report to nearest police station. Human trafficking is punishable under Section 370 IPC with up to 7 years imprisonment.
Rape complaint how to file,Go to nearest police station or women police station immediately. You have the right to file FIR at any police station. Medical examination will be conducted. Your identity will be kept confidential.
Molestation in public transport,File FIR at nearest police station immediately. Also report to transport authority. You can call helpline 100 for immediate police assistance. Keep clothing as evidence.
Women not getting equal pay,File complaint with Labour Commissioner for equal pay violation. You can also approach the court under Equal Remuneration Act 1976. Document salary slips as evidence.
Forced prostitution complaint,Call Anti Human Trafficking helpline 1800-419-8588. Report to nearest police station. This is punishable under Immoral Traffic Prevention Act and IPC Section 370.
Woman denied maternity leave,File complaint with Labour Commissioner. Maternity Benefit Act 1961 provides 26 weeks paid leave. You can also approach the court for enforcement of your rights.
Harassment of pregnant woman at work,File complaint with Internal Complaints Committee and Labour Commissioner. Harassing a pregnant employee is illegal under Maternity Benefit Act 1961.
Woman denied property rights,Consult a lawyer immediately. Hindu women have equal rights in ancestral property under Hindu Succession Amendment Act 2005. Approach civil court for enforcement of rights.
Stalking by ex boyfriend,File FIR at nearest police station under Section 354D IPC. Stalking is a cognizable offence. Apply for restraining order through court. Keep all messages and evidence.
Girl being forced to marry,Call women helpline 181 or police helpline 100. Report to District Magistrate. You can approach court for injunction to stop forced marriage. Childline 1098 for minors.
Obscene messages sent to woman,File complaint at cybercrime.gov.in or call 1930. Also file FIR at nearest police station under IT Act Section 67 and IPC Section 509. Keep all screenshots as evidence.
Woman not allowed to work by family,You have the fundamental right to work under Indian Constitution. Consult a lawyer. You can approach women commission helpline 181. NCW National Commission for Women can also help.
Domestic worker being abused,File complaint at nearest police station. Contact Labour Department for wage issues. Call women helpline 1091 for female domestic workers. NGOs like Prayas can also help.
NRI husband abandoning wife in India,File FIR under Section 498A IPC. Apply for maintenance in family court. Approach passport authority to flag husband passport. Contact MEA for NRI marriage cell assistance.
Senior woman being harassed,Call elder helpline 14567 or police helpline 100. File FIR at nearest police station. Senior citizens have special protection under Maintenance and Welfare of Parents Act 2007.
Single mother child custody,Approach family court for custody order. Mother gets natural custody of young children. Consult a family lawyer for best approach in your situation.
Woman not getting maintenance,File application in family court under Section 125 CrPC for maintenance. Court can order husband to pay maintenance. Consult a family lawyer for guidance.
Transgender rights violation,Contact transgender helpline or National Legal Services Authority NALSA. File complaint with National Human Rights Commission. Transgender Persons Protection of Rights Act 2019 protects your rights.
Girl being discriminated at job interview,File complaint with Equal Employment Opportunity or Labour Department. Gender discrimination in employment is illegal under Indian Constitution Article 15 and 16.
Doctor negligence complaint,File complaint with State Medical Council. For criminal negligence also file FIR with police under Section 304A IPC. You can approach consumer court for compensation. Keep all medical records as evidence.
Hospital overcharging complaint,File complaint at consumer court or State Medical Council. You can also approach the Clinical Establishment Act authority. Keep all bills and receipts as evidence.
Fake medicines sold to me,Report to Central Drugs Standard Control Organization CDSCO at 1800-180-3024. Also file complaint with state Drug Control Department. File FIR at nearest police station with medicine samples.
Ambulance refused to come,File complaint with local health department and hospital administration. You can also call 108 national ambulance service. Report to State Medical Council if private ambulance refused.
Mental health patient rights,Under Mental Healthcare Act 2017 every person has right to mental healthcare. Forced admission without consent is illegal. Contact State Mental Health Authority for rights violation.
Blood bank issues complaint,File complaint with State Blood Transfusion Council. Report to Drug Controller of India for quality issues. For negligence file complaint with State Medical Council and police.
Divorce maintenance not paid,File application in family court under Section 125 CrPC. Court can enforce maintenance payment. Consult a family lawyer. Non-payment of court ordered maintenance is contempt of court.
Child custody dispute,Approach family court for custody order. Court decides based on best interest of child. Mother gets natural custody of young children. Consult a family lawyer immediately.
Adoption process India,Contact Central Adoption Resource Authority CARA at cara.nic.in. Register on their portal. Adoption must be done through legal channels only. Private adoption is illegal.
Runaway teenager complaint,File missing person complaint at nearest police station immediately. Contact Childline 1098. Police must register case and begin search. Also inform school and relatives.
Missing family member,File missing person complaint at nearest police station immediately. Provide recent photograph and details. You can also file complaint at cybercrime portal if suspected foul play.
Second marriage bigamy complaint,File FIR under Section 494 IPC for bigamy. Second marriage during lifetime of first spouse is illegal. Keep marriage certificate of first marriage as evidence.
College fee refund complaint,File complaint at consumer court or approach University Grants Commission UGC. UGC has strict guidelines on fee refund. You can also approach State Education Department.
Exam paper leak complaint,Report to examination board immediately. File FIR at nearest police station. You can also approach High Court for CBI investigation if large scale fraud is suspected.
Ragging complaint in college,File complaint with Anti Ragging Helpline 1800-180-5522. Report to college Anti Ragging Committee. Also file FIR at nearest police station. UGC has strict anti ragging regulations.
Scholarship fraud complaint,File complaint with scholarship issuing authority and Education Department. Also file FIR at nearest police station for fraud. Approach consumer court for money recovery.
Fake degree certificate,File FIR at nearest police station for forgery under Section 465 IPC. Report to concerned university and UGC. Fake degree is a serious criminal offence with imprisonment up to 2 years.
Teacher misconduct complaint,File written complaint with school or college Principal. Then approach District Education Officer. For sexual misconduct file FIR at nearest police station immediately.
Bank loan fraud complaint,File complaint with Banking Ombudsman at your nearest RBI office. Also file FIR at police station. Report to RBI consumer helpline at 14448. Keep all loan documents as evidence.
Credit card misuse complaint,Call your bank immediately to block the card. File complaint at cybercrime.gov.in and call 1930. Also file FIR at nearest police station with transaction details.
Insurance claim rejected complaint,File complaint with Insurance Ombudsman in your region. You can also approach consumer court. IRDAI Bima Bharosa helpline is 155255. Keep all policy documents ready.
PF not released by employer,File complaint on EPFO portal at epfigms.gov.in. Call EPFO helpline 1800-118-005. You can also approach Labour Commissioner. Employer withholding PF is a serious offence.
Salary not paid by company,File complaint with Labour Commissioner of your district. Also send legal notice to employer. You can approach Labour Court for recovery. Keep salary slips and bank statements.
Cheque bounce complaint,File complaint under Section 138 of Negotiable Instruments Act within 30 days of dishonour. Send demand notice first. Cheque bounce is a criminal offence with up to 2 years imprisonment.
Housing society fraud complaint,File complaint with Registrar of Cooperative Societies. Also file FIR at nearest police station. You can approach consumer court for compensation. Keep all society documents ready.
Illegal construction complaint,File complaint with local Municipal Corporation or Gram Panchayat. Report to Town Planning Department. You can also approach High Court for demolition order of illegal structure.
Water supply complaint,File complaint with local Municipal Corporation water department. You can also approach consumer court for deficiency in service. RTI can be filed to get information on water supply issues.
Electricity overcharging complaint,File complaint with State Electricity Regulatory Commission. Also approach consumer court. Call electricity consumer helpline of your state. Keep all electricity bills as evidence.
Noise pollution complaint,File complaint with local police under Section 290 IPC. Report to Pollution Control Board. Municipal Corporation can also take action. Noise levels above prescribed limits are illegal.
Neighbour dispute complaint,Try mediation first through Lok Adalat. File complaint with local police if there is threat or violence. Approach civil court for property boundary disputes. Keep evidence of all incidents.
Traffic police bribery complaint,File complaint with State Police Vigilance Department. You can also report on Anti Corruption Bureau helpline. Note down officer name badge number and location as evidence.
Drunk driving complaint,Call police helpline 100 immediately. File FIR at nearest police station. Drunk driving is punishable under Motor Vehicles Act with fine and imprisonment. Keep video evidence if possible.
Hit and run accident case,File FIR at nearest police station immediately. Note down vehicle number if possible. Apply for compensation under Motor Vehicle Act. Solatium Fund provides compensation for hit and run victims.
Vehicle towing complaint,File complaint with Traffic Police Commissioner if vehicle towed illegally. You have right to know reason for towing. Demand receipt for towing charges. Approach consumer court for compensation.
Driving licence fraud complaint,Report to Regional Transport Office RTO immediately. File FIR at nearest police station for forgery. Fake driving licence is a criminal offence under Motor Vehicles Act.
Auto rickshaw overcharging complaint,File complaint with Regional Transport Office RTO. You can also complain to local police. Note down vehicle registration number. Consumer court also handles such complaints.
Old age home abuse complaint,Call elder helpline 14567 immediately. File FIR at nearest police station. Report to District Social Welfare Officer. Senior Citizens Act 2007 provides strong protection against abuse.
Pension not received complaint,File complaint with concerned pension authority. For government pension approach Pay and Accounts Office. For EPFO pension call 1800-118-005. You can also file RTI for information.
Senior citizen cheated of money,File FIR at nearest police station. Call elder helpline 14567. Approach District Legal Services Authority for free legal help. Banks have special protection measures for senior citizens.
Parents thrown out of house,File complaint under Maintenance and Welfare of Parents and Senior Citizens Act 2007. Approach Sub Divisional Magistrate. Children can be legally forced to maintain parents. Call elder helpline 14567.
Elder financial abuse complaint,File FIR at nearest police station. Approach District Legal Services Authority. Contact elder helpline 14567. Bank can freeze accounts if financial abuse suspected. Consult a lawyer immediately.
Caste discrimination complaint,File complaint under Scheduled Castes and Scheduled Tribes Prevention of Atrocities Act 1989. Visit nearest police station or SC ST Cell. National Commission for SC can also take up the matter.
Untouchability complaint,Untouchability is abolished under Article 17 of Indian Constitution. File FIR at police station under Protection of Civil Rights Act 1955. Penalty includes imprisonment up to 6 months.
Forced religious conversion complaint,File FIR at nearest police station. Anti conversion laws exist in several states. National Commission for Minorities can also take action. Keep evidence of force or allurement used.
Communal violence complaint,Call police helpline 100 immediately. File FIR at nearest police station. Report to District Magistrate who has power to control communal situations. National Human Rights Commission can also help.
SC ST atrocities complaint,File FIR at nearest police station under SC ST Prevention of Atrocities Act 1989. Case must be investigated by Deputy Superintendent of Police. Special courts handle these cases on priority.
Casteist abuse online complaint,File complaint at cybercrime.gov.in. Also file FIR under IT Act and SC ST Atrocities Act. National Commission for SC can take up the matter. Keep screenshots as evidence.
Reservation rights violated,Approach concerned authority or department with proof of your caste certificate. You can file RTI for information. Approach High Court or Administrative Tribunal if rights are denied.
Inter caste marriage threat,File FIR at nearest police station immediately. Apply for police protection through Superintendent of Police. Approach High Court for protection order. Call women helpline 181 if woman is at risk.
Religious place vandalism,File FIR at nearest police station under IPC Section 295. Report to District Magistrate. National Commission for Minorities can take up serious cases. Keep photo and video evidence.
Workplace caste harassment,File complaint with Internal Complaints Committee. Report to Labour Commissioner. You can also file FIR under SC ST Prevention of Atrocities Act 1989 if you belong to SC or ST community.
